text,label
On april 30 2012 employee #1 with walsh construction was placing bridge girders and beams while working on a temporary ramp leading to a bridge. Employee #1 was working from an aerial lift. Employee #1 was positioning the aerial lift and was pinned between the basket and a bridge steel beam. He was found unresponsive and died a week later.,0
At approximately 10:00 a.m. on december 11 2013 employee #1 a carpenter foreman employed by pacific peninsula group was performing interior carpentry at a residential construction site. He was using a bosch 4000 stand-mounted benchtop table saw with a 10-inch blade to cut wood pieces for framing modifications. As he was making the first rip cut to a section of laminated wood product measuring approximately 16 inches long by 1.75 inches wide by 4 inches high his left hand contacted the blade. His left hand and fingers were severely cut. Emergency services were called and the mountain view fire department responded. Employee #1 was transported to stanford hospital where he was admitted and treated. His left middle finger which had been completely severed past the first knuckle near the palm was surgically reattached. The left ring finger which was severed through the bone past the first knuckle also was reattached but during a return hospital visit this finger required surgical amputation. This event was timely reported to cal/osha by the employer and also reported by the mountain view fire department. In its subsequent investigation cal/osha identified the employer as a construction management company performing as a general contractor for this residential apartment building project with tasks being performed by its own employees as well as subcontractors. The task employee #1 was performing required two rip cuts to the section of laminated wood product to achieve the desired finished piece because the blade was capable of rising only to approximately 3 inches high. Employee #1 was working alone and no witness to the event was identified. The guard for the bosch 4000 included a hood a splitter and an anti-kickback device combined as a single unit. This guard/hood was at the site but employee #1 stated the guard was not installed on the saw at the time he began to plan and perform his cuts. Employee #1 stated he set the rip fence to the right of the blade at approximately 1.25 inches and had no other anti-kickback attachments separate from the guard/hood available to install. He also stated he did not install any featherboards or jigs to use as he made cuts without the use of the guard/hood. Employee #1 stated he was pushing and guiding the wood through the blade with his right hand positioned at the end of the wood length nearest to him and his left hand positioned on the top and at the end of the wood farther away from him. He stated there was no push block or push stick at the saw and he did not make one to use. He stated that the first cut was almost complete and the blade was about to come out at the back side of the wood piece when the wood kicked back and shot past his right side. He stated his left hand was extended behind and over the saw blade before the cut but was pulled back partially by the kick-back or his hand movement may have been reflexive. The result was that his left hand contacted the blade. The investigation report included a comment that the guard anti-kickback and spreader features of the bosch 4000 were not separable. They were designed to extend above and past the blade of the saw and would not have allowed the uncut portion of the wood piece to have passed. The first cut of the employee's two-step cutting plan was similar to a dado or cut where the blade does not extend through the top of the wood. The report concluded that the type of rip cut employee #1 was making was allowable without use of the blade's guard/hood only when additional protective devices such as featherboards were being used and separate anti-kickback devices had been installed. No protective devices such as featherboards or anti-kickback attachments were available or installed on the table saw during the time when the saw's guard/hood was not in place. No push sticks or push blocks were available during the time when the table saw was being used.,0
"At approximately 8:15 a.m. on july 18 2013 employee #1 an electrician employed by an electrical and other wiring installation company was working as a subcontractor installing electrical wires in the stage area of a building site. He was operating a scissor lift a skyjack sj111-3219 equipment no. 103319. He moved the lift to the area where he intended to run electrical wires. After positioning the lift he raised the lift's platform to reach the conduit on the ceiling. Employee #1 pushed the electrical wires from the left conduit to the right. After pushing the wires into the conduit he needed to move the lift forward and to his right to pull the electrical wires from the other conduit. He was looking down from the top guardrail of the lift as he reached for the lift's controller behind him with his right hand to move the lift forward. Employee #1 pushed the controller forward to drive the lift to the right. However the lift's platform rose up. Employee #1 realized the toggle switch was on ""lift"" mode instead of a ""drive"" mode. He immediately released the controller and tried to move the platform down but it continued to move up. Employee #1's face was caught between the lift's top guardrail and an overhead pipe. Eventually employee #1 was able to bring the platform down. Emergency services were called and the san mateo fire department responded. Employee #1 was transported to the hospital where he was admitted and treated for multiple facial fractures. He was hospitalized for approximately three days. This event was reported to cal/osha by the san mateo fire department and the employer at approximately 8:30 a.m. and 3:30 p.m. respectively on july 18 2013. Cal/osha initiated its investigation at the work site at approximately 10:15 a.m. on july 30 2013. Participating in the inspection were employee #1's foreman/supervisor the project superintendent of the general contractor and the field operations manager of the general contractor. The investigation revealed that employee #1's employer had leased the scissor lift from sunstate equipment since october 16 2012. The employer returned the scissor lift to sunstate equipment on july 19 2013 the day after employee #1 was injured. While the equipment was in the employer's possession the lift's relay switch was replaced to correct a steering problem and the platform control box was replaced due to the lift's inability to go up. Cal/osha did not issue an accident-related citation because the investigation determined that the cause was not a violation of title 8 california code of regulations (t8 ccr). However cal/osha issued one general citation for the employer's failure to train and instruct its employee in the proper use of skyjack iii 3219 scissor lift in accordance with the manufacturer's operating instructions and section 3203 injury and illness prevention program a violation of t8 ccr section 3638(d).",0
On july 18 2007 employees #1 and #2 were assigned to weld the facade of a mezzanine. One of the workers raised the articulating boom basket too far and both employees' heads necks and shoulders became caught between the control pedestal of the lift and the face of the mezzanine. Employees #1 and #2 sustained injuries for which they were treated and released the same day.,0
Employee #1 suffered nonserious injury to his right knee when he placed his knee between a backhoe bucket and the wall of a deep trench. Employee #1 moved the bucket in towards himself and it pinched his knee against the dirt sidewall of the trench.,0
At approximately 12:15 a.m. on june 29 2004 an employee who was a miner and laborer was working with a tunnel boring machine (tbm) segment erector. The employee noticed a shim out of position and reached in between the segments to reset the shim while the erector jacks were in motion resulting in his fingers getting caught between two concrete segments. The employee was hospitalized with a crushing injury to his right hand and later required hand surgery.,0
The employee was clearing trash in a large dumpster. A forklift with a tipping dump box was being used to transport and unload trash into the dumpster. The employee released the locking lever of the tipping dump box. The tipping motion of the dump box caught the employee's fingers between the tipping box and the forklift. The employee's fingers were amputated.,0
On december 1 2010 employee #1 painted a four story condominium complex. The first floor of the complex was an open area designed for resident parking. Employee #1 operated a jlg model 600s serial number 0954270300042766 aerial lift. He worked from an elevated work platform. Employee #1 had his back to the building. He attempted to position the aerial lift to begin painting the window trim and either moved the aerial lift or boomed the mast out. As a result employee #1 became pinned between the building and the control station inside the elevated working platform. Employee #1 suffered severe injuries including contusions and abrasions. Other employees at the work site found employee #1 pinned between the edge of the garage and the controls of the aerial lift. Employee #1 was taken by helicopter to a local hospital. On december 14 2010 employee #1 died in the hospital from the injuries he sustained in this accident.,0
On july 8 2009 employee #1 was pressure testing a new 10-in. Refrigeration line. He was crushed between the basket of the articulating boom and a new 2-in. Refrigeration line. He was killed.,0
At approximately 11:30 a.m. on april 27 2007 employee #1 was working from an aerial lift jlg model number 400s serial number 30079117 approximately 21 feet above ground welding steel bracing under the ceiling of a commercial building under construction. A coworker noticed that employee #1 seemed to be not moving and blue in the face. Employee #1 was lowered to the ground and cardio-pulmonary resuscitation started but was unsuccessful. Employee #1 was pronounced dead at the scene apparently due to being caught between the aerial lift and a brace. The aerial lift was later tested and problems were identified with the control stick which controlled upward movement of the boom. The control stick would not self-center or stop movement of the boom when released slowly as required by the manufacturer. Examination of the control stick found that hardened and compacted granular material built up on the centering ring and spring prevented the control stick from centering. There was also an absence of grease or lubricant on the centering ring and spring. Once the granular material was removed the control stick functioned properly and self centered.,0
